n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
0,0.0,-0.665798,-0.0653271,0.00638562,-2.24184,-0.857677,1.0769,0,0,0,0,0,0,12680,0
1,0.01595783233642578,-0.665767,-0.065322,0.00633546,-2.24188,-0.857739,1.0767,0,0,0,0,0,0,12678,0
2,0.031914472579956055,-0.66576,-0.0653133,0.00632409,-2.24188,-0.857746,1.0767,0,0,0,0,0,0,12678,0
3,0.047872066497802734,-0.665774,-0.0653013,0.00635555,-2.24183,-0.857743,1.0767,0,0,0,0,0,0,12678,0
4,0.06383228302001953,-0.665785,-0.0653327,0.00636621,-2.24185,-0.857699,1.0768,0,0,0,0,0,0,12683,0
5,0.07978582382202148,-0.665766,-0.0653108,0.00633019,-2.24185,-0.857789,1.0767,0,0,0,0,0,0,12677,0
6,0.09574413299560547,-0.665771,-0.065332,0.00634622,-2.24187,-0.857781,1.0767,0,0,0,0,0,0,12679,0
7,0.11170220375061035,-0.665772,-0.0653137,0.00634774,-2.24185,-0.857749,1.0767,0,0,0,0,0,0,12679,0
8,0.12765908241271973,-0.665768,-0.0653373,0.00634025,-2.24185,-0.85778,1.0767,0,0,0,0,0,0,12678,0
9,0.1436164379119873,-0.665742,-0.0653201,0.00629804,-2.24193,-0.857765,1.0766,0,0,0,0,0,0,12678,0
10,0.1595747470855713,-0.665782,-0.0653117,0.00635977,-2.24183,-0.857698,1.0767,0,0,0,0,0,0,12677,0
11,0.17553186416625977,-0.665802,-0.0653462,0.00638812,-2.24185,-0.857666,1.0768,0,0,0,0,0,0,12674,0
12,0.19148921966552734,-0.665779,-0.0653175,0.00635016,-2.24188,-0.857686,1.0768,0,0,0,0,0,0,12679,0
13,0.20744585990905762,-0.66577,-0.0653426,0.00634757,-2.24186,-0.857778,1.0767,0,0,0,0,0,0,12678,0
14,0.223402738571167,-0.665766,-0.0653311,0.00634703,-2.24184,-0.857775,1.0767,0,0,0,0,0,0,12679,0
15,0.23935961723327637,-0.665793,-0.0653004,0.00638057,-2.24184,-0.857645,1.076,0,0,0,0,0,0,12678,0
16,0.25532102584838867,-0.66579,-0.0653017,0.00635628,-2.24183,-0.857633,1.0767,0,0,0,0,0,0,12679,0
17,0.27127909660339355,-0.665754,-0.0653223,0.00634568,-2.24187,-0.857719,1.0767,0,0,0,0,0,0,12681,0
18,0.2872316837310791,-0.665751,-0.0653367,0.0063188,-2.24184,-0.85785,1.0767,0,0,0,0,0,0,12683,0
19,0.3031904697418213,-0.665784,-0.065341,0.0063532,-2.2418,-0.857838,1.0768,0,0,0,0,0,0,12678,0
20,0.3191490173339844,-0.665782,-0.0653189,0.0063625,-2.24187,-0.857634,1.0768,0,0,0,0,0,0,12678,0
21,0.33510446548461914,-0.665799,-0.0653048,0.00636491,-2.24182,-0.857707,1.0768,0,0,0,0,0,0,12678,0
22,0.3510615825653076,-0.665783,-0.0653203,0.0063462,-2.24187,-0.857706,1.0767,0,0,0,0,0,0,12680,0
23,0.3670191764831543,-0.66577,-0.0653274,0.00635344,-2.24188,-0.857751,1.076,0,0,0,0,0,0,12678,0
24,0.3829813003540039,-0.665789,-0.0652991,0.00637817,-2.24184,-0.857679,1.0768,0,0,0,0,0,0,12680,0
25,0.3999323844909668,-0.665778,-0.065344,0.00637209,-2.24185,-0.857746,1.0768,0,0,0,0,0,0,12678,0
26,0.41588878631591797,-0.665764,-0.0653187,0.00631496,-2.24183,-0.857808,1.0766,0,0,0,0,0,0,12678,0
27,0.43184542655944824,-0.665769,-0.0653271,0.00634654,-2.24185,-0.857777,1.0767,0,0,0,0,0,0,12677,0
28,0.4478027820587158,-0.665783,-0.0653357,0.00637263,-2.2418,-0.857781,1.0768,0,0,0,0,0,0,12679,0
29,0.4637637138366699,-0.665758,-0.0653382,0.00631403,-2.24189,-0.857796,1.0767,0,0,0,0,0,0,12680,0
30,0.47971677780151367,-0.66575,-0.0653349,0.00634175,-2.24188,-0.857772,1.0767,0,0,0,0,0,0,12678,0
31,0.49567484855651855,-0.66579,-0.0653629,0.00638368,-2.24184,-0.857746,1.0768,0,0,0,0,0,0,12678,0
32,0.5116322040557861,-0.665801,-0.0653322,0.00640381,-2.24178,-0.85768,1.0768,0,0,0,0,0,0,12677,0
33,0.5275893211364746,-0.665795,-0.0653555,0.00637378,-2.24184,-0.857803,1.0768,0,0,0,0,0,0,12678,0
34,0.5435466766357422,-0.665755,-0.0653335,0.00632672,-2.2419,-0.857748,1.0767,0,0,0,0,0,0,12679,0
35,0.5595049858093262,-0.665767,-0.0653039,0.00633757,-2.24186,-0.857722,1.0767,0,0,0,0,0,0,12677,0
36,0.5754613876342773,-0.665783,-0.0653138,0.00633268,-2.24187,-0.857766,1.0767,0,0,0,0,0,0,12678,0
37,0.5914177894592285,-0.665754,-0.0653307,0.00631499,-2.24192,-0.857785,1.0767,0,0,0,0,0,0,12678,0
38,0.6073758602142334,-0.66578,-0.0653176,0.00636165,-2.24181,-0.857725,1.076,0,0,0,0,0,0,12677,0
39,0.6233334541320801,-0.665784,-0.0653268,0.00637401,-2.24183,-0.857773,1.0768,0,0,0,0,0,0,12682,0
40,0.6392905712127686,-0.665795,-0.0653536,0.00637782,-2.24181,-0.857775,1.0768,0,0,0,0,0,0,12683,0
41,0.6552467346191406,-0.665795,-0.0653455,0.00635488,-2.24183,-0.857785,1.0768,0,0,0,0,0,0,12682,0
42,0.6712045669555664,-0.665753,-0.0653105,0.0063476,-2.24183,-0.857741,1.0767,0,0,0,0,0,0,12677,0
43,0.6871628761291504,-0.665756,-0.0653317,0.00633709,-2.24184,-0.857792,1.0767,0,0,0,0,0,0,12679,0
44,0.7031197547912598,-0.665766,-0.0653044,0.00633564,-2.24187,-0.85775,1.0767,0,0,0,0,0,0,12680,0
45,0.7190775871276855,-0.665774,-0.0653017,0.0063456,-2.24183,-0.857724,1.0767,0,0,0,0,0,0,12679,0
46,0.7350339889526367,-0.665773,-0.0653621,0.00635206,-2.24184,-0.857835,1.0767,0,0,0,0,0,0,12678,0
47,0.7509918212890625,-0.665764,-0.0653113,0.00633574,-2.24183,-0.857762,1.0767,0,0,0,0,0,0,12678,0
48,0.7669491767883301,-0.665777,-0.0653359,0.00635655,-2.24187,-0.857697,1.0768,0,0,0,0,0,0,12679,0
49,0.7829067707061768,-0.6658,-0.0653189,0.00637487,-2.24185,-0.857666,1.0768,0,0,0,0,0,0,12678,0
50,0.7988636493682861,-0.665774,-0.0653076,0.00636456,-2.24182,-0.857744,1.0767,0,0,0,0,0,0,12677,0
