n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
0,0.0,-0.665759,-0.0653114,0.00633165,-2.24181,-0.857725,1.0767,0,0,0,0,0,0,12592,0
1,0.014952898025512695,-0.66574,-0.0653193,0.00630507,-2.24182,-0.857798,1.0766,0,0,0,0,0,0,12600,0
2,0.030924320220947266,-0.665734,-0.0652834,0.00630128,-2.24186,-0.857693,1.0766,0,0,0,0,0,0,12600,0
3,0.04790782928466797,-0.665774,-0.0653209,0.00634403,-2.24181,-0.857695,1.0767,0,0,0,0,0,0,12608,0
4,0.06482052803039551,-0.665766,-0.0653391,0.0063522,-2.2418,-0.857757,1.076,0,0,0,0,0,0,12601,0
5,0.08376884460449219,-0.665766,-0.0653391,0.0063522,-2.2418,-0.857757,1.076,0,0,0,0,0,0,12604,0
6,0.09473872184753418,-0.665746,-0.0652744,0.00633137,-2.24185,-0.857661,1.076,0,0,0,0,0,0,12601,0
7,0.10969805717468262,-0.665791,-0.0653275,0.00638211,-2.24181,-0.857632,1.0768,0,0,0,0,0,0,12602,0
8,0.125654935836792,-0.665762,-0.0653099,0.0063322,-2.24182,-0.857675,1.0767,0,0,0,0,0,0,12603,0
9,0.14161372184753418,-0.665762,-0.0653099,0.0063322,-2.24182,-0.857675,1.0767,0,0,0,0,0,0,12600,0
10,0.15757012367248535,-0.665781,-0.0653042,0.00636129,-2.24177,-0.857685,1.076,0,0,0,0,0,0,12600,0
11,0.17352938652038574,-0.665777,-0.0653167,0.00637318,-2.24183,-0.857641,1.0768,0,0,0,0,0,0,12602,0
12,0.1894850730895996,-0.665786,-0.0653067,0.00636536,-2.24184,-0.857646,1.0768,0,0,0,0,0,0,12601,0
13,0.20643997192382812,-0.665789,-0.0653279,0.00636951,-2.24177,-0.857739,1.0768,0,0,0,0,0,0,12601,0
14,0.222398042678833,-0.665794,-0.0652975,0.00636906,-2.24179,-0.857641,1.076,0,0,0,0,0,0,12597,0
15,0.238356351852417,-0.665749,-0.0653278,0.00634102,-2.24182,-0.857752,1.0767,0,0,0,0,0,0,12602,0
16,0.25431275367736816,-0.66578,-0.0652995,0.00638151,-2.24178,-0.857702,1.0768,0,0,0,0,0,0,12601,0
17,0.27026844024658203,-0.665772,-0.0653071,0.00636736,-2.24179,-0.857717,1.0767,0,0,0,0,0,0,12602,0
18,0.2862269878387451,-0.665806,-0.0653239,0.00639177,-2.24179,-0.857591,1.0768,0,0,0,0,0,0,12604,0
19,0.3021838665008545,-0.665799,-0.0653161,0.00637444,-2.24177,-0.857645,1.0768,0,0,0,0,0,0,12601,0
20,0.3181416988372803,-0.665803,-0.0653187,0.0064179,-2.24176,-0.857602,1.0769,0,0,0,0,0,0,12601,0
21,0.33410048484802246,-0.665782,-0.0652927,0.00638138,-2.24178,-0.857622,1.0768,0,0,0,0,0,0,12601,0
22,0.35005784034729004,-0.665768,-0.0652952,0.00635298,-2.2418,-0.857667,1.0767,0,0,0,0,0,0,12602,0
23,0.3660130500793457,-0.665767,-0.0653081,0.00637047,-2.24181,-0.857662,1.0768,0,0,0,0,0,0,12602,0
24,0.3819770812988281,-0.665786,-0.0653172,0.00635224,-2.2418,-0.85769,1.0768,0,0,0,0,0,0,12601,0
25,0.39792776107788086,-0.665789,-0.0653052,0.00637993,-2.2418,-0.857652,1.0768,0,0,0,0,0,0,12601,0
26,0.41388535499572754,-0.665739,-0.0652951,0.00631136,-2.2418,-0.857755,1.0766,0,0,0,0,0,0,12602,0
27,0.4318366050720215,-0.665765,-0.0652989,0.00633614,-2.2418,-0.857724,1.0767,0,0,0,0,0,0,12601,0
28,0.4457993507385254,-0.665758,-0.0653026,0.00634627,-2.24181,-0.857677,1.0767,0,0,0,0,0,0,12603,0
29,0.46175694465637207,-0.66577,-0.065287,0.0063454,-2.2418,-0.857712,1.0767,0,0,0,0,0,0,12601,0
30,0.47771430015563965,-0.665749,-0.0652981,0.00634365,-2.24181,-0.85773,1.0767,0,0,0,0,0,0,12599,0
31,0.493671178817749,-0.66577,-0.0653049,0.00635297,-2.24181,-0.857677,1.0767,0,0,0,0,0,0,12601,0
32,0.5096309185028076,-0.665784,-0.065296,0.00639328,-2.24178,-0.857645,1.0768,0,0,0,0,0,0,12601,0
33,0.5255863666534424,-0.665756,-0.0652872,0.00634616,-2.24178,-0.857696,1.0767,0,0,0,0,0,0,12601,0
34,0.5415427684783936,-0.66577,-0.0653075,0.00636981,-2.24179,-0.85764,1.0768,0,0,0,0,0,0,12592,0
35,0.5575029850006104,-0.665782,-0.0653195,0.00634484,-2.24179,-0.857744,1.0767,0,0,0,0,0,0,12601,0
36,0.5734577178955078,-0.665759,-0.0652872,0.00635471,-2.24182,-0.857657,1.0767,0,0,0,0,0,0,12601,0
37,0.5894145965576172,-0.665804,-0.0653033,0.0063728,-2.2418,-0.857644,1.0768,0,0,0,0,0,0,12598,0
38,0.6053719520568848,-0.665791,-0.0653054,0.00637369,-2.24182,-0.857617,1.0768,0,0,0,0,0,0,12602,0
39,0.6213288307189941,-0.665775,-0.0653037,0.00635185,-2.2418,-0.8577,1.0767,0,0,0,0,0,0,12603,0
40,0.6372878551483154,-0.665794,-0.0653372,0.00639548,-2.2418,-0.857662,1.0769,0,0,0,0,0,0,12606,0
41,0.6532447338104248,-0.665797,-0.0653267,0.00638397,-2.24177,-0.857669,1.0768,0,0,0,0,0,0,12604,0
42,0.6692037582397461,-0.665783,-0.065323,0.00637916,-2.24181,-0.857704,1.0768,0,0,0,0,0,0,12601,0
43,0.6851582527160645,-0.66575,-0.0653302,0.00630137,-2.24183,-0.857784,1.0766,0,0,0,0,0,0,12601,0
44,0.7021148204803467,-0.665755,-0.0653154,0.00635268,-2.24181,-0.857711,1.0767,0,0,0,0,0,0,12602,0
45,0.7180719375610352,-0.665753,-0.0652984,0.00633051,-2.2418,-0.85772,1.076,0,0,0,0,0,0,12602,0
46,0.7340288162231445,-0.66576,-0.0653282,0.00634886,-2.24184,-0.857735,1.0767,0,0,0,0,0,0,12601,0
47,0.7499864101409912,-0.665783,-0.0653278,0.00636274,-2.24177,-0.857734,1.0768,0,0,0,0,0,0,12600,0
48,0.7659435272216797,-0.665755,-0.0653,0.00634599,-2.24179,-0.857696,1.0767,0,0,0,0,0,0,12600,0
49,0.7818994522094727,-0.665753,-0.0653372,0.00634131,-2.24181,-0.857772,1.0767,0,0,0,0,0,0,12599,0
50,0.7978570461273193,-0.665768,-0.0653017,0.0063428,-2.24185,-0.857647,1.0767,0,0,0,0,0,0,12600,0
51,0.8138141632080078,-0.665803,-0.0653083,0.0063809,-2.24179,-0.85759,1.0768,0,0,0,0,0,0,12598,0
52,0.8297731876373291,-0.665775,-0.0652973,0.00635729,-2.24182,-0.857661,1.0767,0,0,0,0,0,0,12600,0
53,0.8457293510437012,-0.665776,-0.0652981,0.00637406,-2.24175,-0.857688,1.0767,0,0,0,0,0,0,12605,0
54,0.8616857528686523,-0.665797,-0.0653351,0.00638535,-2.2418,-0.857624,1.0769,0,0,0,0,0,0,12602,0
55,0.877643346786499,-0.665749,-0.0653321,0.00633358,-2.24181,-0.857747,1.0767,0,0,0,0,0,0,12601,0
56,0.8936023712158203,-0.665762,-0.0652998,0.00633215,-2.24186,-0.857601,1.0767,0,0,0,0,0,0,12602,0
57,0.9095578193664551,-0.665795,-0.0652897,0.00639715,-2.24178,-0.857602,1.0768,0,0,0,0,0,0,12600,0
58,0.9255187511444092,-0.665782,-0.0653432,0.00639612,-2.2418,-0.857672,1.0769,0,0,0,0,0,0,12598,0
59,0.9414751529693604,-0.665773,-0.0652908,0.00633616,-2.2418,-0.857667,1.0767,0,0,0,0,0,0,12601,0
60,0.9574308395385742,-0.665743,-0.0652817,0.00630714,-2.24184,-0.85776,1.0766,0,0,0,0,0,0,12601,0
61,0.9733884334564209,-0.665776,-0.0653216,0.00636235,-2.2418,-0.857704,1.0768,0,0,0,0,0,0,12601,0
62,0.9893453121185303,-0.66577,-0.0652992,0.0063649,-2.2418,-0.857678,1.0767,0,0,0,0,0,0,12601,0
63,1.0053024291992188,-0.665778,-0.0653264,0.00636198,-2.24181,-0.857708,1.0768,0,0,0,0,0,0,12602,0
64,1.0212600231170654,-0.66577,-0.0652939,0.00634481,-2.24179,-0.857724,1.0767,0,0,0,0,0,0,12603,0
65,1.0372178554534912,-0.665726,-0.0652816,0.00627244,-2.24184,-0.85779,1.0765,0,0,0,0,0,0,12604,0
66,1.0531740188598633,-0.665758,-0.065306,0.00632842,-2.24182,-0.857727,1.0767,0,0,0,0,0,0,12600,0
