n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
0,0.0,-0.642929,-0.0662958,0.00694963,-2.24192,-0.857889,1.0796,0,0,0,0,0,0,12977,0
1,0.00797891616821289,-0.64296,-0.0663308,0.00698838,-2.24189,-0.857838,1.0797,0,0,0,0,0,0,12978,0
2,0.02398395538330078,-0.642927,-0.0663342,0.00694701,-2.24196,-0.857874,1.0796,0,0,0,0,0,0,12979,0
3,0.03994250297546387,-0.642931,-0.0663422,0.00693278,-2.24192,-0.857945,1.0796,0,0,0,0,0,0,12969,0
4,0.05589938163757324,-0.642926,-0.0663067,0.00696267,-2.24194,-0.857821,1.0796,0,0,0,0,0,0,12966,0
5,0.07185673713684082,-0.642904,-0.0663397,0.00693218,-2.24194,-0.857993,1.0796,0,0,0,0,0,0,12979,0
6,0.0878455638885498,-0.642908,-0.0663037,0.00695163,-2.24191,-0.85795,1.0796,0,0,0,0,0,0,12967,0
7,0.10366272926330566,-0.642948,-0.0663101,0.00698052,-2.24191,-0.85781,1.0797,0,0,0,0,0,0,12977,0
8,0.11958837509155273,-0.642938,-0.0663122,0.00695538,-2.2419,-0.857861,1.0796,0,0,0,0,0,0,12977,0
9,0.1358189582824707,-0.642917,-0.0663293,0.00695486,-2.24192,-0.857927,1.079,0,0,0,0,0,0,12975,0
10,0.15176987648010254,-0.64293,-0.0663158,0.00697791,-2.24191,-0.857822,1.0797,0,0,0,0,0,0,12974,0
11,0.16797661781311035,-0.642934,-0.0663432,0.00696737,-2.2419,-0.857967,1.0796,0,0,0,0,0,0,12978,0
12,0.18336105346679688,-0.642934,-0.0663354,0.00695524,-2.2419,-0.857958,1.0796,0,0,0,0,0,0,12967,0
13,0.1993415355682373,-0.642925,-0.0663163,0.00696055,-2.24189,-0.857883,1.0796,0,0,0,0,0,0,12979,0
14,0.21596837043762207,-0.642925,-0.0663163,0.00696055,-2.24189,-0.857883,1.0796,0,0,0,0,0,0,12976,0
15,0.23192453384399414,-0.642943,-0.0663403,0.00696704,-2.24188,-0.857933,1.0797,0,0,0,0,0,0,12977,0
16,0.24734091758728027,-0.642921,-0.0663064,0.00691485,-2.24189,-0.858019,1.0795,0,0,0,0,0,0,12976,0
17,0.2631220817565918,-0.642927,-0.0662979,0.00692704,-2.24191,-0.85791,1.0795,0,0,0,0,0,0,12975,0
18,0.2794618606567383,-0.642956,-0.0663597,0.00699395,-2.24189,-0.857962,1.0797,0,0,0,0,0,0,12970,0
19,0.29534482955932617,-0.642926,-0.0663107,0.00696335,-2.24185,-0.85795,1.0796,0,0,0,0,0,0,12970,0
20,0.31130123138427734,-0.642951,-0.0663094,0.00696854,-2.24195,-0.857815,1.0797,0,0,0,0,0,0,12980,0
21,0.3275303840637207,-0.64293,-0.0663349,0.00695452,-2.24195,-0.85792,1.0796,0,0,0,0,0,0,12974,0
22,0.3436851501464844,-0.642945,-0.0663307,0.00697311,-2.24186,-0.857923,1.0796,0,0,0,0,0,0,12981,0
23,0.35945677757263184,-0.642945,-0.0663219,0.00697153,-2.24191,-0.857875,1.0797,0,0,0,0,0,0,12967,0
24,0.375262975692749,-0.642928,-0.0662962,0.00693946,-2.24194,-0.857861,1.0796,0,0,0,0,0,0,12976,0
25,0.39164185523986816,-0.642962,-0.066336,0.00698908,-2.24188,-0.857896,1.0797,0,0,0,0,0,0,12975,0
26,0.4070472717285156,-0.64295,-0.0662962,0.00698172,-2.2419,-0.857775,1.079,0,0,0,0,0,0,12967,0
27,0.42347073554992676,-0.642949,-0.0663343,0.0069693,-2.24188,-0.857938,1.0796,0,0,0,0,0,0,12977,0
28,0.4388294219970703,-0.642932,-0.0663184,0.00698414,-2.2419,-0.857857,1.0797,0,0,0,0,0,0,12976,0
29,0.4557828903198242,-0.642956,-0.0663167,0.00697158,-2.24188,-0.857839,1.0797,0,0,0,0,0,0,12976,0
30,0.4717428684234619,-0.642946,-0.0663334,0.00697424,-2.24187,-0.857966,1.0797,0,0,0,0,0,0,12977,0
31,0.4876987934112549,-0.642944,-0.0663274,0.00696146,-2.24188,-0.857927,1.079,0,0,0,0,0,0,12967,0
32,0.5036575794219971,-0.642901,-0.0662864,0.00691653,-2.24198,-0.857908,1.0795,0,0,0,0,0,0,12975,0
33,0.5196154117584229,-0.64292,-0.0663115,0.00693942,-2.24191,-0.857972,1.0796,0,0,0,0,0,0,12971,0
34,0.5355720520019531,-0.642946,-0.0663043,0.0069927,-2.24188,-0.857812,1.0797,0,0,0,0,0,0,12980,0
35,0.5515344142913818,-0.642959,-0.0663052,0.00698314,-2.24189,-0.857867,1.0797,0,0,0,0,0,0,12976,0
36,0.5674865245819092,-0.642954,-0.0663252,0.00696769,-2.24187,-0.857913,1.0796,0,0,0,0,0,0,12975,0
37,0.5834434032440186,-0.642952,-0.0663316,0.00697485,-2.24185,-0.857928,1.079,0,0,0,0,0,0,12975,0
38,0.5994012355804443,-0.642931,-0.0663165,0.00694082,-2.24187,-0.857933,1.0796,0,0,0,0,0,0,12976,0
