n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
49,0.773190975189209,-0.642937,-0.0663323,0.00697626,-2.24191,-0.857888,1.0797,0,0,0,0,0,0,13022,0
50,0.7892296314239502,-0.642945,-0.0663273,0.00697821,-2.24186,-0.857868,1.0797,0,0,0,0,0,0,13019,0
51,0.8051857948303223,-0.642931,-0.0663029,0.00693237,-2.24188,-0.857932,1.0795,0,0,0,0,0,0,13019,0
52,0.821143388748169,-0.642909,-0.0663104,0.0069411,-2.24189,-0.857962,1.0795,0,0,0,0,0,0,13020,0
53,0.8371012210845947,-0.642939,-0.0662942,0.00695289,-2.24186,-0.857902,1.0796,0,0,0,0,0,0,13011,0
54,0.8530580997467041,-0.642961,-0.0663552,0.00696647,-2.24189,-0.857894,1.0797,0,0,0,0,0,0,13012,0
55,0.8690156936645508,-0.642897,-0.0663285,0.00691295,-2.24192,-0.858017,1.0795,0,0,0,0,0,0,13024,0
56,0.8849842548370361,-0.642937,-0.0663156,0.00696056,-2.24188,-0.857878,1.0796,0,0,0,0,0,0,13020,0
57,0.9009616374969482,-0.642962,-0.0663365,0.00698895,-2.24188,-0.857849,1.0797,0,0,0,0,0,0,13020,0
58,0.9168884754180908,-0.642942,-0.0663227,0.00698202,-2.2419,-0.857851,1.0797,0,0,0,0,0,0,13024,0
59,0.9328758716583252,-0.642947,-0.0663614,0.00695899,-2.24188,-0.857945,1.079,0,0,0,0,0,0,13023,0
60,0.9488027095794678,-0.642953,-0.0663537,0.00698487,-2.24187,-0.857917,1.0797,0,0,0,0,0,0,13020,0
61,0.9647910594940186,-0.642955,-0.0663223,0.00699036,-2.24185,-0.857878,1.0797,0,0,0,0,0,0,13019,0
62,0.9807159900665283,-0.642955,-0.0663223,0.00699036,-2.24185,-0.857878,1.0797,0,0,0,0,0,0,13014,0
63,0.9966762065887451,-0.642968,-0.0663521,0.00700944,-2.24186,-0.857884,1.079,0,0,0,0,0,0,13024,0
64,1.0126309394836426,-0.642934,-0.0663433,0.00695761,-2.24191,-0.857985,1.0796,0,0,0,0,0,0,13021,0
65,1.028588056564331,-0.642917,-0.0663163,0.00693399,-2.24188,-0.857971,1.079,0,0,0,0,0,0,13020,0
66,1.0445473194122314,-0.642925,-0.0663181,0.00693588,-2.24196,-0.857904,1.0796,0,0,0,0,0,0,13021,0
67,1.060504674911499,-0.64286,-0.0662991,0.00686527,-2.24199,-0.858047,1.0794,0,0,0,0,0,0,13010,0
68,1.0768985748291016,-0.642917,-0.0662992,0.00694378,-2.24193,-0.857869,1.0796,0,0,0,0,0,0,13013,0
69,1.0928590297698975,-0.64292,-0.0663261,0.00695032,-2.24191,-0.857901,1.0796,0,0,0,0,0,0,13017,0
70,1.1088149547576904,-0.642949,-0.0663397,0.00699051,-2.24189,-0.857852,1.0797,0,0,0,0,0,0,13017,0
