n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
0,0.0,-0.6461,-0.0662295,0.00695497,-2.24187,-0.857835,1.0795,0,0,0,0,0,0,12976,0
1,0.015923261642456055,-0.646097,-0.0662493,0.00696623,-2.24191,-0.857817,1.0796,0,0,0,0,0,0,12974,0
2,0.03143310546875,-0.646084,-0.0662464,0.00693276,-2.24194,-0.857824,1.0795,0,0,0,0,0,0,12975,0
3,0.04807686805725098,-0.646103,-0.0662446,0.00693453,-2.24194,-0.857756,1.0795,0,0,0,0,0,0,12975,0
4,0.06435561180114746,-0.64609,-0.0662727,0.0069373,-2.24194,-0.857842,1.0796,0,0,0,0,0,0,12975,0
5,0.07937216758728027,-0.64612,-0.0662726,0.00700598,-2.24185,-0.857799,1.0797,0,0,0,0,0,0,12976,0
6,0.09533429145812988,-0.646081,-0.0662341,0.00696085,-2.24191,-0.857796,1.0796,0,0,0,0,0,0,12976,0
7,0.1122896671295166,-0.646105,-0.066224,0.00695555,-2.24188,-0.857795,1.0795,0,0,0,0,0,0,12973,0
8,0.12725114822387695,-0.646096,-0.0662575,0.00694205,-2.24193,-0.857831,1.0796,0,0,0,0,0,0,12976,0
9,0.14420461654663086,-0.646071,-0.0662474,0.00690197,-2.24194,-0.857889,1.0794,0,0,0,0,0,0,12975,0
10,0.16016197204589844,-0.646098,-0.0662543,0.00695721,-2.2419,-0.857821,1.0796,0,0,0,0,0,0,12976,0
11,0.17611932754516602,-0.64609,-0.0662385,0.00694651,-2.24193,-0.857802,1.079,0,0,0,0,0,0,12974,0
12,0.1920764446258545,-0.64613,-0.0662395,0.00697396,-2.24188,-0.857755,1.0796,0,0,0,0,0,0,12975,0
13,0.20803427696228027,-0.646116,-0.0662408,0.00697717,-2.24189,-0.857716,1.0796,0,0,0,0,0,0,12975,0
14,0.22399067878723145,-0.646104,-0.066226,0.00695357,-2.2419,-0.857764,1.0795,0,0,0,0,0,0,12975,0
15,0.23994851112365723,-0.646087,-0.0662438,0.00694351,-2.24192,-0.857848,1.0795,0,0,0,0,0,0,12975,0
16,0.2559075355529785,-0.646128,-0.0662469,0.00698357,-2.24188,-0.85777,1.0796,0,0,0,0,0,0,12977,0
17,0.2718620300292969,-0.646081,-0.0662381,0.00692754,-2.24189,-0.857869,1.0795,0,0,0,0,0,0,12977,0
18,0.28784823417663574,-0.646116,-0.0662357,0.00694403,-2.24193,-0.857756,1.0795,0,0,0,0,0,0,12977,0
19,0.30371785163879395,-0.646106,-0.0662626,0.00698031,-2.24188,-0.857801,1.0796,0,0,0,0,0,0,12976,0
20,0.31967616081237793,-0.646059,-0.0662401,0.00691014,-2.24194,-0.8579,1.079,0,0,0,0,0,0,12976,0
21,0.3356328010559082,-0.646104,-0.066251,0.00692619,-2.24194,-0.857782,1.0796,0,0,0,0,0,0,12974,0
