n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
49,0.7836246490478516,-0.646085,-0.0662493,0.0069179,-2.24193,-0.857926,1.0795,0,0,0,0,0,0,12993,0
50,0.7995815277099609,-0.64606,-0.0662476,0.00688409,-2.24197,-0.857892,1.0794,0,0,0,0,0,0,12992,0
51,0.815537691116333,-0.64606,-0.0662476,0.00688409,-2.24197,-0.857892,1.0794,0,0,0,0,0,0,12992,0
52,0.8314969539642334,-0.646091,-0.0662255,0.00691584,-2.24196,-0.857833,1.079,0,0,0,0,0,0,12992,0
53,0.8474531173706055,-0.646095,-0.0662605,0.00694223,-2.2419,-0.857861,1.079,0,0,0,0,0,0,12991,0
54,0.863410472869873,-0.646072,-0.0662523,0.00692184,-2.24194,-0.857907,1.0795,0,0,0,0,0,0,12992,0
55,0.8793690204620361,-0.646101,-0.0662501,0.00693832,-2.24194,-0.857822,1.0796,0,0,0,0,0,0,12991,0
56,0.8953244686126709,-0.646095,-0.066241,0.00694505,-2.24191,-0.857828,1.0795,0,0,0,0,0,0,12991,0
57,0.9112823009490967,-0.646083,-0.066273,0.006945,-2.24191,-0.857898,1.0796,0,0,0,0,0,0,12991,0
58,0.9272396564483643,-0.646099,-0.0662604,0.00694359,-2.24192,-0.857866,1.0796,0,0,0,0,0,0,12991,0
59,0.9431989192962646,-0.646102,-0.0662811,0.00693161,-2.24197,-0.85782,1.0796,0,0,0,0,0,0,12991,0
60,0.9591553211212158,-0.646065,-0.0662517,0.0069181,-2.24194,-0.857889,1.0795,0,0,0,0,0,0,12991,0
61,0.9751114845275879,-0.646097,-0.0662593,0.00695542,-2.24191,-0.85782,1.0796,0,0,0,0,0,0,12993,0
62,0.9910686016082764,-0.646089,-0.0662302,0.0069178,-2.24192,-0.857872,1.0795,0,0,0,0,0,0,12986,0
63,1.0070271492004395,-0.646104,-0.0662538,0.00696333,-2.24189,-0.857839,1.0796,0,0,0,0,0,0,12992,0
64,1.0229828357696533,-0.646113,-0.0662337,0.00694441,-2.24189,-0.857781,1.0795,0,0,0,0,0,0,12992,0
65,1.0389411449432373,-0.646083,-0.0662526,0.00691427,-2.24196,-0.85785,1.0795,0,0,0,0,0,0,12991,0
66,1.0548982620239258,-0.64609,-0.0662494,0.00691841,-2.24195,-0.857871,1.0795,0,0,0,0,0,0,12990,0
67,1.070854663848877,-0.646091,-0.0662444,0.0069234,-2.24191,-0.857833,1.0795,0,0,0,0,0,0,12992,0
68,1.08681321144104,-0.646086,-0.0662383,0.00693302,-2.24192,-0.857803,1.0795,0,0,0,0,0,0,12991,0
69,1.1027705669403076,-0.646068,-0.0662527,0.00690731,-2.24198,-0.857895,1.079,0,0,0,0,0,0,12991,0
70,1.1187279224395752,-0.646102,-0.0662642,0.00695016,-2.2419,-0.857836,1.0796,0,0,0,0,0,0,12990,0
71,1.1346852779388428,-0.646102,-0.0662642,0.00695016,-2.2419,-0.857836,1.0796,0,0,0,0,0,0,12991,0
72,1.150641679763794,-0.646077,-0.0662136,0.00693499,-2.24191,-0.857795,1.0795,0,0,0,0,0,0,12990,0
73,1.1665985584259033,-0.646096,-0.0662461,0.00694004,-2.24193,-0.857813,1.0795,0,0,0,0,0,0,12989,0
74,1.18255615234375,-0.646096,-0.066251,0.00692853,-2.24192,-0.857858,1.0795,0,0,0,0,0,0,12993,0
75,1.1985142230987549,-0.64608,-0.0662694,0.00692239,-2.24197,-0.857895,1.0795,0,0,0,0,0,0,12991,0
76,1.2144708633422852,-0.646059,-0.0662517,0.00692914,-2.24194,-0.857912,1.0795,0,0,0,0,0,0,12990,0
77,1.2304279804229736,-0.64607,-0.0662401,0.00688777,-2.24196,-0.857908,1.0794,0,0,0,0,0,0,12990,0
78,1.2473833560943604,-0.646072,-0.0661999,0.00691227,-2.24194,-0.857757,1.0795,0,0,0,0,0,0,12991,0
79,1.2633404731750488,-0.646079,-0.0662128,0.00694743,-2.24194,-0.857735,1.0795,0,0,0,0,0,0,12991,0
80,1.2792985439300537,-0.646083,-0.0662729,0.00694194,-2.24192,-0.857877,1.0795,0,0,0,0,0,0,12995,0
81,1.2952547073364258,-0.64608,-0.0662405,0.006937,-2.24195,-0.857795,1.0795,0,0,0,0,0,0,12999,0
82,1.3112125396728516,-0.646072,-0.0662318,0.0068938,-2.24198,-0.857846,1.0794,0,0,0,0,0,0,12991,0
83,1.32716965675354,-0.646061,-0.0662345,0.00691989,-2.24189,-0.857927,1.079,0,0,0,0,0,0,12992,0
84,1.343127965927124,-0.646086,-0.0662285,0.00691704,-2.24192,-0.857798,1.0795,0,0,0,0,0,0,12992,0
85,1.359086513519287,-0.646098,-0.0662406,0.00694784,-2.24194,-0.857768,1.0796,0,0,0,0,0,0,12990,0
86,1.37504243850708,-0.646108,-0.0662544,0.00693727,-2.24193,-0.857823,1.0795,0,0,0,0,0,0,12995,0
87,1.391000509262085,-0.646092,-0.0662542,0.00693905,-2.24191,-0.857856,1.079,0,0,0,0,0,0,12991,0
88,1.4069552421569824,-0.646087,-0.066242,0.00692465,-2.24194,-0.857826,1.0795,0,0,0,0,0,0,12991,0
89,1.4229135513305664,-0.646079,-0.0662775,0.00693816,-2.24193,-0.857897,1.0796,0,0,0,0,0,0,12990,0
90,1.4388725757598877,-0.64609,-0.066263,0.00692439,-2.24193,-0.857858,1.0795,0,0,0,0,0,0,12991,0
91,1.4548611640930176,-0.646104,-0.0662591,0.00696895,-2.24189,-0.857831,1.0796,0,0,0,0,0,0,12991,0
92,1.4708244800567627,-0.646106,-0.0662531,0.00692968,-2.24193,-0.857842,1.0795,0,0,0,0,0,0,12990,0
93,1.486783742904663,-0.646071,-0.0662465,0.00690781,-2.24198,-0.857849,1.0795,0,0,0,0,0,0,12989,0
94,1.5027329921722412,-0.646091,-0.0662061,0.00692248,-2.24191,-0.857788,1.0795,0,0,0,0,0,0,12992,0
95,1.5186913013458252,-0.646052,-0.0662455,0.00687552,-2.24196,-0.857985,1.0794,0,0,0,0,0,0,12992,0
96,1.5346145629882812,-0.646074,-0.0662394,0.0069024,-2.24199,-0.857808,1.0795,0,0,0,0,0,0,12992,0
97,1.550572395324707,-0.646122,-0.066278,0.00697034,-2.24194,-0.857757,1.0797,0,0,0,0,0,0,12992,0
98,1.566530466079712,-0.646085,-0.0662541,0.00690708,-2.24197,-0.85785,1.0795,0,0,0,0,0,0,12983,0
