n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
49,0.7747700214385986,-0.6658,-0.0652924,0.0063941,-2.24187,-0.857405,1.076,0,0,0,0,0,0,12460,0
50,0.7907278537750244,-0.665766,-0.0652723,0.00634096,-2.24191,-0.857494,1.0767,0,0,0,0,0,0,12450,0
51,0.8066856861114502,-0.665785,-0.0652933,0.00639048,-2.24187,-0.857463,1.0768,0,0,0,0,0,0,12453,0
52,0.8226425647735596,-0.66577,-0.0652565,0.00637363,-2.24189,-0.85744,1.076,0,0,0,0,0,0,12458,0
53,0.8385992050170898,-0.665787,-0.0652453,0.00637401,-2.24187,-0.857436,1.0767,0,0,0,0,0,0,12450,0
54,0.8545577526092529,-0.66575,-0.0652687,0.00635078,-2.24189,-0.857576,1.0767,0,0,0,0,0,0,12450,0
55,0.8715119361877441,-0.665762,-0.0652601,0.00634571,-2.2419,-0.857563,1.076,0,0,0,0,0,0,12450,0
56,0.887470006942749,-0.665743,-0.0652685,0.00632129,-2.24194,-0.857591,1.0766,0,0,0,0,0,0,12462,0
57,0.903425931930542,-0.665778,-0.0652444,0.00634073,-2.24186,-0.857502,1.0767,0,0,0,0,0,0,12458,0
58,0.919384241104126,-0.665781,-0.0652505,0.00638048,-2.24189,-0.857443,1.076,0,0,0,0,0,0,12452,0
59,0.9353413581848145,-0.665774,-0.0652623,0.00641801,-2.24185,-0.85746,1.0768,0,0,0,0,0,0,12452,0
60,0.951298713684082,-0.665774,-0.0652623,0.00641801,-2.24185,-0.85746,1.0768,0,0,0,0,0,0,12451,0
61,0.9672563076019287,-0.665767,-0.0652809,0.00636175,-2.2419,-0.85753,1.0767,0,0,0,0,0,0,12457,0
62,0.983212947845459,-0.665757,-0.0653189,0.00635157,-2.2419,-0.857589,1.0768,0,0,0,0,0,0,12461,0
63,0.9991703033447266,-0.665782,-0.0652757,0.0063712,-2.24186,-0.857512,1.0767,0,0,0,0,0,0,12457,0
