n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
49,0.779914379119873,-0.6658,-0.0652182,0.00641248,-2.24187,-0.857294,1.0768,0,0,0,0,0,0,12595,0
50,0.7958707809448242,-0.665784,-0.0652503,0.00639098,-2.24184,-0.857447,1.0767,0,0,0,0,0,0,12593,0
51,0.8118288516998291,-0.6658,-0.0652429,0.00640598,-2.24183,-0.857422,1.076,0,0,0,0,0,0,12596,0
52,0.8277859687805176,-0.665789,-0.0652645,0.00640721,-2.24181,-0.857487,1.0768,0,0,0,0,0,0,12598,0
53,0.8437435626983643,-0.665801,-0.0652329,0.00643247,-2.24183,-0.857354,1.0768,0,0,0,0,0,0,12596,0
54,0.8597011566162109,-0.6658,-0.0652315,0.00642188,-2.24182,-0.85736,1.0768,0,0,0,0,0,0,12594,0
55,0.8756589889526367,-0.665769,-0.0651928,0.00637742,-2.24186,-0.857438,1.076,0,0,0,0,0,0,12600,0
56,0.8916170597076416,-0.665806,-0.0652197,0.00639463,-2.24186,-0.857306,1.0768,0,0,0,0,0,0,12596,0
57,0.9075727462768555,-0.665801,-0.0652191,0.00641195,-2.2418,-0.85736,1.0768,0,0,0,0,0,0,12597,0
58,0.9235303401947021,-0.665784,-0.0652367,0.00640228,-2.24188,-0.857396,1.0768,0,0,0,0,0,0,12598,0
59,0.9394872188568115,-0.665764,-0.0652517,0.00637452,-2.24184,-0.857536,1.0767,0,0,0,0,0,0,12594,0
60,0.9554450511932373,-0.665788,-0.0652342,0.00641547,-2.24185,-0.85738,1.0768,0,0,0,0,0,0,12586,0
61,0.9723992347717285,-0.66578,-0.0652245,0.00638147,-2.24183,-0.857445,1.0767,0,0,0,0,0,0,12595,0
62,0.9883568286895752,-0.665772,-0.0652192,0.0063842,-2.24187,-0.857397,1.0767,0,0,0,0,0,0,12592,0
63,1.0043139457702637,-0.665792,-0.0652423,0.00641312,-2.24183,-0.857453,1.0768,0,0,0,0,0,0,12601,0
